date,equity,symbol,daily_ret
2025-05-14,99820.44463661479,^DJI,0.0
2025-05-15,99820.44463661479,^DJI,0.0
2025-05-16,99820.44463661479,^DJI,0.0
2025-05-19,99820.44463661479,^DJI,0.0
2025-05-20,99937.61951226383,^DJI,0.001173856478756452
2025-05-21,99937.61951226383,^DJI,0.0
2025-05-22,99937.61951226383,^DJI,0.0
2025-05-23,99937.61951226383,^DJI,0.0
2025-05-27,99937.61951226383,^DJI,0.0
2025-05-28,99792.14880984125,^DJI,-0.001455615043989833
2025-05-29,99792.14880984125,^DJI,0.0
2025-05-30,99792.14880984125,^DJI,0.0
2025-06-02,99792.14880984125,^DJI,0.0
2025-06-03,99792.14880984125,^DJI,0.0
2025-06-04,99792.14880984125,^DJI,0.0
2025-06-05,99792.14880984125,^DJI,0.0
2025-06-06,99792.14880984125,^DJI,0.0
2025-06-09,99792.14880984125,^DJI,0.0
2025-06-10,99792.14880984125,^DJI,0.0
2025-06-11,99885.19672168005,^DJI,0.0009324171585494145
2025-06-12,99885.19672168005,^DJI,0.0
2025-06-13,99885.19672168005,^DJI,0.0
2025-06-16,99885.19672168005,^DJI,0.0
2025-06-17,99885.19672168005,^DJI,0.0
2025-06-18,99885.19672168005,^DJI,0.0
2025-06-20,99885.19672168005,^DJI,0.0
2025-06-23,99885.19672168005,^DJI,0.0
2025-06-24,99885.19672168005,^DJI,0.0
2025-06-25,99885.19672168005,^DJI,0.0
2025-06-26,99885.19672168005,^DJI,0.0
2025-06-27,99885.19672168005,^DJI,0.0
2025-06-30,99885.19672168005,^DJI,0.0
2025-07-01,99885.19672168005,^DJI,0.0
2025-07-02,99885.19672168005,^DJI,0.0
2025-07-03,99885.19672168005,^DJI,0.0
2025-07-07,99885.19672168005,^DJI,0.0
2025-07-08,99885.19672168005,^DJI,0.0
2025-07-09,99885.19672168005,^DJI,0.0
2025-07-10,99885.19672168005,^DJI,0.0
2025-07-11,99885.19672168005,^DJI,0.0
2025-07-14,99885.19672168005,^DJI,0.0
2025-07-15,99885.19672168005,^DJI,0.0
2025-07-16,99885.19672168005,^DJI,0.0
2025-07-17,99885.19672168005,^DJI,0.0
2025-07-18,99885.19672168005,^DJI,0.0
